Participant,Media,Timeline,AOI,Total_duration_of_fixations,Average_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Average_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Number_of_saccades_in_AOI
4,Presentation3,T+A,M2-1-BLANK,4413,147,30,493,2.73587,6146,341,18,493,1
4,Presentation3,T+A,M2-1-C,0,,0,,,0,,0,,0
4,Presentation3,T+A,M2-1-D,0,,0,,,0,,0,,0
4,Presentation3,T+A,M2-1-DELETE,4197,182,23,2409,2.87296,6345,1058,6,2409,7
4,Presentation3,T+A,M2-1-DELETE,38855,156,249,1759,2.68361,68415,2851,24,1759,61
4,Presentation3,T+A,Q,5674,129,44,12618,2.80972,10037,836,12,12618,8
4,Presentation3,T+A,T,45634,158,288,1759,2.70872,79906,4206,19,1759,79
4,Presentation3,Entire Recording,M2-1-A,933,85,11,137447,2.77377,1715,343,5,137447,1
4,Presentation3,Entire Recording,M2-1-B,0,,0,,,0,,0,,0
4,Presentation3,Entire Recording,M2-1-BLANK,4413,147,30,55293,2.73587,6146,341,18,55293,1
4,Presentation3,Entire Recording,M2-1-C,0,,0,,,0,,0,,0
4,Presentation3,Entire Recording,M2-1-D,0,,0,,,0,,0,,0
4,Presentation3,Entire Recording,M2-1-DELETE,4197,182,23,57209,2.87296,6345,1058,6,57209,7
4,Presentation3,Entire Recording,M2-1-DELETE,38855,156,249,56559,2.68361,68415,2851,24,56559,61
4,Presentation3,Entire Recording,Q,5674,129,44,67418,2.80972,10037,836,12,67418,8
4,Presentation3,Entire Recording,T,45634,158,288,56559,2.70872,79906,4206,19,56559,79
4,Presentation4,T+A,M2-2-A,9393,159,59,66935,2.76906,11175,339,33,66935,12
4,Presentation4,T+A,M2-2-B,4946,160,31,88216,2.81156,5979,352,17,88216,10
4,Presentation4,T+A,M2-2-BLANK,516,103,5,1468,3.16323,516,103,5,1468,0
4,Presentation4,T+A,M2-2-C,83,83,1,88683,2.81269,83,83,1,88683,0
4,Presentation4,T+A,M2-2-D,67,67,1,124440,2.89127,67,67,1,124440,0
4,Presentation4,T+A,M2-2-DELETE,933,155,6,9163,2.77314,1099,366,3,9163,1
4,Presentation4,T+A,M2-2-DELETE,67901,142,477,269,2.75727,140079,2458,57,269,130
4,Presentation4,T+A,Q,36640,164,223,7048,2.77383,57037,1240,46,7048,75
4,Presentation4,T+A,T,72115,143,505,269,2.75757,149689,3119,48,269,143
4,Presentation4,Entire Recording,M2-2-A,9393,159,59,115348,2.76906,11175,339,33,115348,12
4,Presentation4,Entire Recording,M2-2-B,4946,160,31,136630,2.81156,5979,352,17,136630,10
4,Presentation4,Entire Recording,M2-2-BLANK,516,103,5,49882,3.16323,516,103,5,49882,0
4,Presentation4,Entire Recording,M2-2-C,83,83,1,137096,2.81269,83,83,1,137096,0
4,Presentation4,Entire Recording,M2-2-D,67,67,1,172854,2.89127,67,67,1,172854,0
4,Presentation4,Entire Recording,M2-2-DELETE,933,155,6,57576,2.77314,1099,366,3,57576,1
4,Presentation4,Entire Recording,M2-2-DELETE,67901,142,477,48682,2.75727,140079,2458,57,48682,130
4,Presentation4,Entire Recording,Q,36640,164,223,55461,2.77383,57037,1240,46,55461,75
4,Presentation4,Entire Recording,T,72115,143,505,48682,2.75757,149689,3119,48,48682,143
